Tijdstip;cm t.o.v NAP
31-12-2002 00:00;380
31-12-2002 00:10;387
31-12-2002 00:20;391
31-12-2002 00:30;391
31-12-2002 00:40;389
31-12-2002 00:50;384
31-12-2002 01:00;377
31-12-2002 01:10;367
31-12-2002 01:20;356
31-12-2002 01:30;342
31-12-2002 01:40;327
31-12-2002 01:50;312
31-12-2002 02:00;297
31-12-2002 02:10;282
31-12-2002 02:20;266
31-12-2002 02:30;252
31-12-2002 02:40;237
31-12-2002 02:50;222
31-12-2002 03:00;206
31-12-2002 03:10;190
31-12-2002 03:20;173
31-12-2002 03:30;156
31-12-2002 03:40;139
31-12-2002 03:50;121
31-12-2002 04:00;105
31-12-2002 04:10;87
31-12-2002 04:20;70
31-12-2002 04:30;54
31-12-2002 04:40;39
31-12-2002 04:50;24
31-12-2002 05:00;9
31-12-2002 05:10;-5
31-12-2002 05:20;-18
31-12-2002 05:30;-30
31-12-2002 05:40;-42
31-12-2002 05:50;-53
31-12-2002 06:00;-64
31-12-2002 06:10;-74
31-12-2002 06:20;-83
31-12-2002 06:30;-91
31-12-2002 06:40;-99
31-12-2002 06:50;-105
31-12-2002 07:00;-110
31-12-2002 07:10;-112
31-12-2002 07:20;-112
31-12-2002 07:30;-109
31-12-2002 07:40;-100
31-12-2002 07:50;-89
31-12-2002 08:00;-76
31-12-2002 08:10;-63
31-12-2002 08:20;-49
31-12-2002 08:30;-36
31-12-2002 08:40;-22
31-12-2002 08:50;-9
31-12-2002 09:00;4
31-12-2002 09:10;18
31-12-2002 09:20;31
31-12-2002 09:30;43
31-12-2002 09:40;55
31-12-2002 09:50;68
31-12-2002 10:00;80
31-12-2002 10:10;91
31-12-2002 10:20;102
31-12-2002 10:30;114
31-12-2002 10:40;127
31-12-2002 10:50;141
31-12-2002 11:00;157
31-12-2002 11:10;174
31-12-2002 11:20;193
31-12-2002 11:30;215
31-12-2002 11:40;238
31-12-2002 11:50;263
31-12-2002 12:00;287
31-12-2002 12:10;309
31-12-2002 12:20;327
31-12-2002 12:30;341
31-12-2002 12:40;352
31-12-2002 12:50;358
31-12-2002 13:00;360
31-12-2002 13:10;360
31-12-2002 13:20;356
31-12-2002 13:30;349
31-12-2002 13:40;338
31-12-2002 13:50;326
31-12-2002 14:00;312
31-12-2002 14:10;297
31-12-2002 14:20;281
31-12-2002 14:30;266
31-12-2002 14:40;250
31-12-2002 14:50;235
31-12-2002 15:00;220
31-12-2002 15:10;207
31-12-2002 15:20;191
31-12-2002 15:30;177
31-12-2002 15:40;162
31-12-2002 15:50;146
31-12-2002 16:00;129
31-12-2002 16:10;112
31-12-2002 16:20;95
31-12-2002 16:30;76
31-12-2002 16:40;60
31-12-2002 16:50;43
31-12-2002 17:00;27
31-12-2002 17:10;10
31-12-2002 17:20;-5
31-12-2002 17:30;-21
31-12-2002 17:40;-35
31-12-2002 17:50;-49
31-12-2002 18:00;-62
31-12-2002 18:10;-74
31-12-2002 18:20;-86
31-12-2002 18:30;-97
31-12-2002 18:40;-108
31-12-2002 18:50;-118
31-12-2002 19:00;-126
31-12-2002 19:10;-134
31-12-2002 19:20;-140
31-12-2002 19:30;-146
31-12-2002 19:40;-150
31-12-2002 19:50;-149
31-12-2002 20:00;-146
31-12-2002 20:10;-139
31-12-2002 20:20;-128
31-12-2002 20:30;-115
31-12-2002 20:40;-100
31-12-2002 20:50;-84
31-12-2002 21:00;-69
31-12-2002 21:10;-54
31-12-2002 21:20;-39
31-12-2002 21:30;-24
31-12-2002 21:40;-9
31-12-2002 21:50;5
31-12-2002 22:00;18
31-12-2002 22:10;32
31-12-2002 22:20;46
31-12-2002 22:30;59
31-12-2002 22:40;73
31-12-2002 22:50;86
31-12-2002 23:00;101
31-12-2002 23:10;117
31-12-2002 23:20;132
31-12-2002 23:30;151
31-12-2002 23:40;170
31-12-2002 23:50;192
1-1-2003 00:00;218
1-1-2003 00:10;247
1-1-2003 00:20;276
1-1-2003 00:30;303
1-1-2003 00:40;325
1-1-2003 00:50;343
1-1-2003 01:00;356
1-1-2003 01:10;367
1-1-2003 01:20;374
1-1-2003 01:30;379
1-1-2003 01:40;380
1-1-2003 01:50;376
1-1-2003 02:00;370
1-1-2003 02:10;362
1-1-2003 02:20;351
1-1-2003 02:30;338
1-1-2003 02:40;323
1-1-2003 02:50;308
1-1-2003 03:00;293
1-1-2003 03:10;277
1-1-2003 03:20;261
1-1-2003 03:30;245
1-1-2003 03:40;230
1-1-2003 03:50;216
1-1-2003 04:00;201
1-1-2003 04:10;185
1-1-2003 04:20;169
1-1-2003 04:30;152
1-1-2003 04:40;135
1-1-2003 04:50;117
1-1-2003 05:00;98
1-1-2003 05:10;81
1-1-2003 05:20;63
1-1-2003 05:30;46
1-1-2003 05:40;30
1-1-2003 05:50;14
1-1-2003 06:00;-1
1-1-2003 06:10;-15
1-1-2003 06:20;-29
1-1-2003 06:30;-42
1-1-2003 06:40;-54
1-1-2003 06:50;-67
1-1-2003 07:00;-79
1-1-2003 07:10;-90
1-1-2003 07:20;-99
1-1-2003 07:30;-108
1-1-2003 07:40;-117
1-1-2003 07:50;-123
1-1-2003 08:00;-128
1-1-2003 08:10;-132
1-1-2003 08:20;-133
1-1-2003 08:30;-130
1-1-2003 08:40;-124
1-1-2003 08:50;-112
1-1-2003 09:00;-97
1-1-2003 09:10;-82
1-1-2003 09:20;-67
1-1-2003 09:30;-53
1-1-2003 09:40;-40
1-1-2003 09:50;-27
1-1-2003 10:00;-14
1-1-2003 10:10;-2
1-1-2003 10:20;10
1-1-2003 10:30;22
1-1-2003 10:40;35
1-1-2003 10:50;47
1-1-2003 11:00;58
1-1-2003 11:10;70
1-1-2003 11:20;83
1-1-2003 11:30;97
1-1-2003 11:40;113
1-1-2003 11:50;130
1-1-2003 12:00;149
1-1-2003 12:10;172
1-1-2003 12:20;197
1-1-2003 12:30;227
1-1-2003 12:40;263
1-1-2003 12:50;297
1-1-2003 13:00;324
1-1-2003 13:10;345
1-1-2003 13:20;361
1-1-2003 13:30;373
1-1-2003 13:40;379
1-1-2003 13:50;382
1-1-2003 14:00;382
