Tijdstip;m NAP
31-12-2017 00:00;0.04
1-1-2018 00:00;0.04
2-1-2018 00:00;0.04
3-1-2018 00:00;0.04
4-1-2018 00:00;0.04
5-1-2018 00:00;0.04
6-1-2018 00:00;0.04
7-1-2018 00:00;0.04
8-1-2018 00:00;0.04
9-1-2018 00:00;0.04
10-1-2018 00:00;0.04
11-1-2018 00:00;0.04
12-1-2018 00:00;0.04
13-1-2018 00:00;0.04
14-1-2018 00:00;0.04
15-1-2018 00:00;0.04
16-1-2018 00:00;0.04
17-1-2018 00:00;0.04
18-1-2018 00:00;0.04
19-1-2018 00:00;0.04
20-1-2018 00:00;0.04
21-1-2018 00:00;0.04
22-1-2018 00:00;0.04
23-1-2018 00:00;0.04
24-1-2018 00:00;0.04
25-1-2018 00:00;0.04
26-1-2018 00:00;0.04
27-1-2018 00:00;0.04
28-1-2018 00:00;0.04
29-1-2018 00:00;0.04
30-1-2018 00:00;0.04
31-1-2018 00:00;0.04
1-2-2018 00:00;0.04
2-2-2018 00:00;0.04
3-2-2018 00:00;0.04
4-2-2018 00:00;0.04
5-2-2018 00:00;0.04
6-2-2018 00:00;0.04
7-2-2018 00:00;0.04
8-2-2018 00:00;0.04
9-2-2018 00:00;0.04
10-2-2018 00:00;0.04
11-2-2018 00:00;0.04
12-2-2018 00:00;0.04
13-2-2018 00:00;0.04
14-2-2018 00:00;0.04
15-2-2018 00:00;0.04
16-2-2018 00:00;0.04
17-2-2018 00:00;0.04
18-2-2018 00:00;0.04
19-2-2018 00:00;0.04
20-2-2018 00:00;0.04
21-2-2018 00:00;0.04
22-2-2018 00:00;0.04
23-2-2018 00:00;0.04
24-2-2018 00:00;0.04
25-2-2018 00:00;0.04
26-2-2018 00:00;0.04
27-2-2018 00:00;0.04
28-2-2018 00:00;0.04
1-3-2018 00:00;0.1
2-3-2018 00:00;0.1
3-3-2018 00:00;0.1
4-3-2018 00:00;0.1
5-3-2018 00:00;0.1
6-3-2018 00:00;0.1
7-3-2018 00:00;0.1
8-3-2018 00:00;0.1
9-3-2018 00:00;0.1
10-3-2018 00:00;0.1
11-3-2018 00:00;0.1
12-3-2018 00:00;0.1
13-3-2018 00:00;0.1
14-3-2018 00:00;0.1
15-3-2018 00:00;0.06
16-3-2018 00:00;0.06
17-3-2018 00:00;0.06
18-3-2018 00:00;0.06
19-3-2018 00:00;0.06
20-3-2018 00:00;0.06
21-3-2018 00:00;0.06
22-3-2018 00:00;0.06
23-3-2018 00:00;0.06
24-3-2018 00:00;0.06
25-3-2018 00:00;0.06
26-3-2018 00:00;0.06
27-3-2018 00:00;0.06
28-3-2018 00:00;0.06
29-3-2018 00:00;0.06
30-3-2018 00:00;0.06
31-3-2018 00:00;0.06
1-4-2018 00:00;0.06
2-4-2018 00:00;0.06
3-4-2018 00:00;0.06
4-4-2018 00:00;0.06
5-4-2018 00:00;0.06
6-4-2018 00:00;0.06
7-4-2018 00:00;0.06
8-4-2018 00:00;0.06
9-4-2018 00:00;0.06
10-4-2018 00:00;0.06
11-4-2018 00:00;0.06
12-4-2018 00:00;0.06
13-4-2018 00:00;0.06
14-4-2018 00:00;0.06
15-4-2018 00:00;0.02
16-4-2018 00:00;0.02
17-4-2018 00:00;0.02
18-4-2018 00:00;0.02
19-4-2018 00:00;0.02
20-4-2018 00:00;0.02
21-4-2018 00:00;0.02
22-4-2018 00:00;0.02
23-4-2018 00:00;0.02
24-4-2018 00:00;0.02
25-4-2018 00:00;0.02
26-4-2018 00:00;0.02
27-4-2018 00:00;0.02
28-4-2018 00:00;0.02
29-4-2018 00:00;0.02
30-4-2018 00:00;0.02
1-5-2018 00:00;0.02
2-5-2018 00:00;0.02
3-5-2018 00:00;0.02
4-5-2018 00:00;0.02
5-5-2018 00:00;0.02
6-5-2018 00:00;0.02
7-5-2018 00:00;0.02
8-5-2018 00:00;0.02
9-5-2018 00:00;0.02
10-5-2018 00:00;0.02
11-5-2018 00:00;0.02
