Tijdstip;I;II;III;IV;V;VI;VII;VIII;IX;X
;m3;m3;m3;m3;m3;m3;m3;m3;m3
2018-01-01 00:00;73500000.0;39200000.0;31850000.000000004;68600000.0;12075000.0;12075000.0;84150000.0;12250000.0;5850000.0;3450000.0
2018-01-02 00:00;73794967.31092437;39357315.89915966;31977819.168067228;68875302.82352942;12109412.852941178;12109412.852941178;84317148.14285713;12299161.218487395;5879496.731092437;3450000.0
2018-01-03 00:00;74081047.76470588;39509892.14117647;32101787.364705883;69142311.24705882;12142788.905882353;12142788.905882353;84479260.39999999;12346841.294117648;5908104.7764705885;3450000.0
2018-01-04 00:00;74303920.48739496;39628757.59327731;32198365.544537816;69350325.78823529;12168790.723529411;12168790.723529411;84605554.94285715;12383986.74789916;5930392.048739496;3450000.0
2018-01-05 00:00;74440627.1092437;39701667.79159664;32257605.08067227;69477918.63529412;12184739.829411766;12184739.829411766;84683022.02857143;12406771.18487395;5944062.710924369;3450000.0
2018-01-06 00:00;74628624.65546219;39801933.14957983;32339070.684033614;69653383.0117647;12206672.876470588;12206672.876470588;84789553.97142857;12438104.109243697;5962862.465546219;3450000.0
2018-01-07 00:00;74816156.01680672;39901949.87563025;32420334.27394958;69828412.28235294;12228551.535294117;12228551.535294117;84895821.74285714;12469359.336134454;5981615.601680672;3450000.0
2018-01-08 00:00;75000327.4789916;40000174.65546218;32500141.907563023;70000305.64705881;12250038.205882352;12250038.205882352;85000185.57142858;12500054.579831932;6000032.747899159;3450000.0
2018-01-09 00:00;75175661.49579832;40093686.13109244;32576119.981512606;70163950.72941177;12270493.84117647;12270493.84117647;85099541.51428571;12529276.915966388;6017566.149579832;3450000.0
2018-01-10 00:00;75364693.15966387;40194503.018487394;32658033.702521008;70340380.28235294;12292547.535294117;12292547.535294117;85206659.45714286;12560782.19327731;6036469.315966386;3450000.0
2018-01-11 00:00;75594173.74789916;40316892.66554622;32757475.290756304;70554562.16470589;12319320.270588236;12319320.270588236;85336698.45714286;12599028.957983194;6059417.374789916;3450000.0
2018-01-12 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-13 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-14 00:00;76102036.73963629;40587752.92780602;32977549.253842395;71028567.62366053;12378570.952957567;12378570.952957567;85624487.4857939;12683672.789939381;6110203.67396363;3450000.0
2018-01-15 00:00;76588152.4628114;40847014.64683275;33188199.400551606;71482275.63195731;12435284.453994663;12435284.453994663;85899953.0622598;12764692.077135233;6158815.2462811405;3450000.0
2018-01-16 00:00;76146675.00280383;40611560.001495376;32996892.501214992;71070230.00261691;12383778.750327114;12383778.750327114;85649782.50158884;12691112.500467306;6114667.500280383;3450000.0
2018-01-17 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-18 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-19 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-20 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-21 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-22 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-23 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-24 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-25 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-26 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-27 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-28 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-29 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-30 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-01-31 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-01 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-02 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-03 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-04 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-05 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-06 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-07 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-08 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-09 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-10 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-11 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-12 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-13 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-14 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-15 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-16 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-17 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-18 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-19 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-20 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-21 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-22 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-23 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-24 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-25 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-26 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-27 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-02-28 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-03-01 00:00;75600000.0;40320000.0;32760000.0;70560000.0;12320000.0;12320000.0;85340000.0;12600000.0;6060000.0;3450000.0
2018-03-02 00:00;76350000.0;40720000.0;33085000.0;71260000.0;12407500.0;12407500.0;85765000.0;12725000.0;6135000.0;3450000.0
2018-03-03 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-04 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-05 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-06 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-07 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-08 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-09 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-10 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-11 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-12 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-13 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-14 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-15 00:00;76500000.0;40800000.0;33149999.999999996;71400000.0;12425000.0;12425000.0;85850000.0;12750000.0;6149999.999999999;3450000.0
2018-03-16 00:00;75900000.0;40480000.0;32889999.999999996;70840000.0;12355000.0;12355000.0;85510000.0;12649999.999999998;6089999.999999999;3450000.0
2018-03-17 00:00;75900000.0;40480000.0;32889999.999999996;70840000.0;12355000.0;12355000.0;85510000.0;12649999.999999998;6089999.999999999;3450000.0
