Tijdstip;mm/hr;kg CL/s
31-12-2002 01:00;0;0
31-12-2002 02:00;0;0
31-12-2002 03:00;0;0
31-12-2002 04:00;0;0
31-12-2002 05:00;0;0
31-12-2002 06:00;0;0
31-12-2002 07:00;0;0
31-12-2002 08:00;0;0
31-12-2002 09:00;0;0
31-12-2002 10:00;0;0
31-12-2002 11:00;0;0
31-12-2002 12:00;0;0
31-12-2002 13:00;0;0
31-12-2002 14:00;0;0
31-12-2002 15:00;0;0
31-12-2002 16:00;0;0
31-12-2002 17:00;0;0
31-12-2002 18:00;0;0
31-12-2002 19:00;0;0
31-12-2002 20:00;0;0
31-12-2002 21:00;0;0
31-12-2002 22:00;0;0
31-12-2002 23:00;0;0
1-1-2003 00:00;0;0
1-1-2003 01:00;0;0
1-1-2003 02:00;0;0
1-1-2003 03:00;0;0
1-1-2003 04:00;0;0
1-1-2003 05:00;0;0
1-1-2003 06:00;0;0
1-1-2003 07:00;0;0
1-1-2003 08:00;0;0
1-1-2003 09:00;0;0
1-1-2003 10:00;0;0
1-1-2003 11:00;0;0
1-1-2003 12:00;0;0
1-1-2003 13:00;0;0
1-1-2003 14:00;0;0
1-1-2003 15:00;0;0
1-1-2003 16:00;0;0
1-1-2003 17:00;0;0
1-1-2003 18:00;0;0
1-1-2003 19:00;0;0
1-1-2003 20:00;0;0
1-1-2003 21:00;0;0
1-1-2003 22:00;0;0
1-1-2003 23:00;0;0
2-1-2003 00:00;0;0
2-1-2003 01:00;0;0
2-1-2003 02:00;0;0
2-1-2003 03:00;0;0
2-1-2003 04:00;0;0
2-1-2003 05:00;0;0
2-1-2003 06:00;0;0
2-1-2003 07:00;0;0
2-1-2003 08:00;0;0
2-1-2003 09:00;0.65;0
2-1-2003 10:00;2.21;0
2-1-2003 11:00;1.43;0
2-1-2003 12:00;1.95;0
2-1-2003 13:00;0;0
2-1-2003 14:00;0.065;0
2-1-2003 15:00;2.34;0
2-1-2003 16:00;0.52;0
2-1-2003 17:00;1.04;0
2-1-2003 18:00;0;0
2-1-2003 19:00;0;0
2-1-2003 20:00;0;0
2-1-2003 21:00;0;0
2-1-2003 22:00;0;0
2-1-2003 23:00;0;0
3-1-2003 00:00;0;0
3-1-2003 01:00;0;0
3-1-2003 02:00;0.13;0
3-1-2003 03:00;0.065;0
3-1-2003 04:00;0.13;0
3-1-2003 05:00;0.065;0
3-1-2003 06:00;0;0
3-1-2003 07:00;0;0
3-1-2003 08:00;0.065;0
3-1-2003 09:00;1.04;0
3-1-2003 10:00;2.86;0
3-1-2003 11:00;1.43;0
3-1-2003 12:00;0.52;0
3-1-2003 13:00;0.52;0
3-1-2003 14:00;0.13;0
3-1-2003 15:00;0.13;0
3-1-2003 16:00;0.13;0
3-1-2003 17:00;1.04;0
3-1-2003 18:00;1.43;0
3-1-2003 19:00;0;0
3-1-2003 20:00;0.26;0
3-1-2003 21:00;0.13;0
3-1-2003 22:00;0.13;0
3-1-2003 23:00;0;0
4-1-2003 00:00;0;0
4-1-2003 01:00;0;0
4-1-2003 02:00;0.26;0
4-1-2003 03:00;2.47;0
4-1-2003 04:00;1.17;0
4-1-2003 05:00;0.065;0
4-1-2003 06:00;0.065;0
4-1-2003 07:00;0;0
4-1-2003 08:00;0;0
4-1-2003 09:00;0.52;0
4-1-2003 10:00;0.13;0
4-1-2003 11:00;0.65;0
4-1-2003 12:00;0.065;0
4-1-2003 13:00;0;0
4-1-2003 14:00;0;0
4-1-2003 15:00;0;0
4-1-2003 16:00;0;0
4-1-2003 17:00;0;0
4-1-2003 18:00;0;0
4-1-2003 19:00;0;0
4-1-2003 20:00;0;0
4-1-2003 21:00;0;0
4-1-2003 22:00;0;0
4-1-2003 23:00;0;0
5-1-2003 00:00;0;0
5-1-2003 01:00;0;0
5-1-2003 02:00;0;0
5-1-2003 03:00;0;0
5-1-2003 04:00;0;0
5-1-2003 05:00;0;0
5-1-2003 06:00;0;0
5-1-2003 07:00;0;0
5-1-2003 08:00;0;0
5-1-2003 09:00;0;0
5-1-2003 10:00;0;0
5-1-2003 11:00;0;0
5-1-2003 12:00;0;0
5-1-2003 13:00;0;0
5-1-2003 14:00;0;0
5-1-2003 15:00;0;0
5-1-2003 16:00;0;0
5-1-2003 17:00;0;0
5-1-2003 18:00;0;0
5-1-2003 19:00;0;0
5-1-2003 20:00;0;0
5-1-2003 21:00;0;0
5-1-2003 22:00;0;0
5-1-2003 23:00;0;0
6-1-2003 00:00;0;0
6-1-2003 01:00;0;0
6-1-2003 02:00;0;0
6-1-2003 03:00;0;0
6-1-2003 04:00;0;0
6-1-2003 05:00;0;0
6-1-2003 06:00;0;0
6-1-2003 07:00;0;0
6-1-2003 08:00;0;0
6-1-2003 09:00;0;0
6-1-2003 10:00;0;0
6-1-2003 11:00;0;0
6-1-2003 12:00;0.65;0
6-1-2003 13:00;0.39;0
6-1-2003 14:00;0;0
6-1-2003 15:00;0;0
6-1-2003 16:00;0;0
6-1-2003 17:00;0;0
6-1-2003 18:00;0.13;0
6-1-2003 19:00;0;0
6-1-2003 20:00;0;0
6-1-2003 21:00;0;0
6-1-2003 22:00;0;0
6-1-2003 23:00;0;0
7-1-2003 00:00;0;0
7-1-2003 01:00;0;0
7-1-2003 02:00;0.26;0
7-1-2003 03:00;1.04;0
7-1-2003 04:00;0.52;0
7-1-2003 05:00;0;0
7-1-2003 06:00;0;0
7-1-2003 07:00;0;0
7-1-2003 08:00;0;0
7-1-2003 09:00;0;0
7-1-2003 10:00;0;0
7-1-2003 11:00;0;0
7-1-2003 12:00;0;0
7-1-2003 13:00;0;0
7-1-2003 14:00;0;0
7-1-2003 15:00;0;0
7-1-2003 16:00;0;0
7-1-2003 17:00;0;0
7-1-2003 18:00;0;0
7-1-2003 19:00;0;0
7-1-2003 20:00;0;0
7-1-2003 21:00;0;0
7-1-2003 22:00;0;0
7-1-2003 23:00;0;0
8-1-2003 00:00;0;0
8-1-2003 01:00;0;0
8-1-2003 02:00;0;0
8-1-2003 03:00;0;0
8-1-2003 04:00;0;0
8-1-2003 05:00;0;0
8-1-2003 06:00;0;0
8-1-2003 07:00;0;0
8-1-2003 08:00;0;0
8-1-2003 09:00;0;0
8-1-2003 10:00;0;0
8-1-2003 11:00;0;0
8-1-2003 12:00;0;0
8-1-2003 13:00;0;0
8-1-2003 14:00;0;0
8-1-2003 15:00;0;0
8-1-2003 16:00;0;0
8-1-2003 17:00;0;0
8-1-2003 18:00;0;0
8-1-2003 19:00;0;0
8-1-2003 20:00;0;0
8-1-2003 21:00;0;0
8-1-2003 22:00;0;0
8-1-2003 23:00;0;0
9-1-2003 00:00;0;0
9-1-2003 01:00;0;0
9-1-2003 02:00;0;0
9-1-2003 03:00;0;0
9-1-2003 04:00;0;0
9-1-2003 05:00;0;0
9-1-2003 06:00;0;0
9-1-2003 07:00;0;0
9-1-2003 08:00;0;0
9-1-2003 09:00;0;0
9-1-2003 10:00;0;0
9-1-2003 11:00;0;0
9-1-2003 12:00;0;0
9-1-2003 13:00;0;0
9-1-2003 14:00;0;0
9-1-2003 15:00;0;0
9-1-2003 16:00;0;0
9-1-2003 17:00;0;0
9-1-2003 18:00;0;0
9-1-2003 19:00;0;0
9-1-2003 20:00;0;0
9-1-2003 21:00;0;0
9-1-2003 22:00;0;0
9-1-2003 23:00;0;0
10-1-2003 00:00;0;0
10-1-2003 01:00;0;0
10-1-2003 02:00;0;0
10-1-2003 03:00;0;0
10-1-2003 04:00;0;0
10-1-2003 05:00;0;0
10-1-2003 06:00;0;0
10-1-2003 07:00;0;0
10-1-2003 08:00;0;0
10-1-2003 09:00;0;0
10-1-2003 10:00;0;0
10-1-2003 11:00;0;0
10-1-2003 12:00;0;0
10-1-2003 13:00;0;0
10-1-2003 14:00;0;0
10-1-2003 15:00;0;0
10-1-2003 16:00;0;0
10-1-2003 17:00;0;0
10-1-2003 18:00;0;0
10-1-2003 19:00;0;0
10-1-2003 20:00;0;0
10-1-2003 21:00;0;0
10-1-2003 22:00;0;0
10-1-2003 23:00;0;0
11-1-2003 00:00;0;0
11-1-2003 01:00;0;0
11-1-2003 02:00;0;0
11-1-2003 03:00;0;0
11-1-2003 04:00;0;0
11-1-2003 05:00;0;0
11-1-2003 06:00;0.26;0
11-1-2003 07:00;0.065;0
11-1-2003 08:00;0;0
11-1-2003 09:00;0;0
11-1-2003 10:00;0;0
11-1-2003 11:00;0;0
11-1-2003 12:00;0;0
11-1-2003 13:00;0;0
11-1-2003 14:00;0;0
11-1-2003 15:00;0;0
11-1-2003 16:00;0;0
11-1-2003 17:00;0;0
11-1-2003 18:00;0;0
11-1-2003 19:00;0;0
11-1-2003 20:00;0;0
11-1-2003 21:00;0;0
11-1-2003 22:00;0;0
11-1-2003 23:00;0;0
12-1-2003 00:00;0;0
12-1-2003 01:00;0;0
12-1-2003 02:00;0;0
12-1-2003 03:00;0;0
12-1-2003 04:00;0;0
12-1-2003 05:00;0;0
12-1-2003 06:00;0;0
12-1-2003 07:00;0;0
12-1-2003 08:00;0;0
12-1-2003 09:00;0;0
12-1-2003 10:00;0;0
12-1-2003 11:00;0;0
12-1-2003 12:00;0;0
12-1-2003 13:00;0;0
12-1-2003 14:00;0;0
12-1-2003 15:00;0;0
12-1-2003 16:00;0;0
12-1-2003 17:00;0;0
