# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 323:         3.884       51.527       1.40  WILHELMINADORP
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# 
# STN,YYYYMMDD,   HH,   RH
# 
  323,20021231,    1,    0
  323,20021231,    2,    0
  323,20021231,    3,    0
  323,20021231,    4,    0
  323,20021231,    5,    0
  323,20021231,    6,    0
  323,20021231,    7,    0
  323,20021231,    8,    0
  323,20021231,    9,    0
  323,20021231,   10,    0
  323,20021231,   11,    0
  323,20021231,   12,    0
  323,20021231,   13,    0
  323,20021231,   14,    0
  323,20021231,   15,    0
  323,20021231,   16,    0
  323,20021231,   17,    0
  323,20021231,   18,    0
  323,20021231,   19,    0
  323,20021231,   20,    0
  323,20021231,   21,    0
  323,20021231,   22,    0
  323,20021231,   23,    0
  323,20021231,   24,    0
  323,20030101,    1,    0
  323,20030101,    2,    0
  323,20030101,    3,    0
  323,20030101,    4,    0
  323,20030101,    5,    0
  323,20030101,    6,    0
  323,20030101,    7,    0
  323,20030101,    8,    0
  323,20030101,    9,    5
  323,20030101,   10,   17
  323,20030101,   11,   11
  323,20030101,   12,   15
  323,20030101,   13,    0
  323,20030101,   14,   -1
  323,20030101,   15,   18
  323,20030101,   16,    4
  323,20030101,   17,    8
  323,20030101,   18,    0
  323,20030101,   19,    0
  323,20030101,   20,    0
  323,20030101,   21,    0
  323,20030101,   22,    0
  323,20030101,   23,    0
  323,20030101,   24,    0
  323,20030102,    1,    0
  323,20030102,    2,    1
  323,20030102,    3,   -1
  323,20030102,    4,    1
  323,20030102,    5,   -1
  323,20030102,    6,    0
  323,20030102,    7,    0
  323,20030102,    8,   -1
  323,20030102,    9,    8
  323,20030102,   10,   22
  323,20030102,   11,   11
  323,20030102,   12,    4
  323,20030102,   13,    4
  323,20030102,   14,    1
  323,20030102,   15,    1
  323,20030102,   16,    1
  323,20030102,   17,    8
  323,20030102,   18,   11
  323,20030102,   19,    0
  323,20030102,   20,    2
  323,20030102,   21,    1
  323,20030102,   22,    1
  323,20030102,   23,    0
  323,20030102,   24,    0
  323,20030103,    1,    0
  323,20030103,    2,    2
  323,20030103,    3,   19
  323,20030103,    4,    9
  323,20030103,    5,   -1
  323,20030103,    6,   -1
  323,20030103,    7,    0
  323,20030103,    8,    0
  323,20030103,    9,    4
  323,20030103,   10,    1
  323,20030103,   11,    5
  323,20030103,   12,   -1
  323,20030103,   13,    0
  323,20030103,   14,    0
  323,20030103,   15,    0
  323,20030103,   16,    0
  323,20030103,   17,    0
  323,20030103,   18,    0
  323,20030103,   19,    0
  323,20030103,   20,    0
  323,20030103,   21,    0
  323,20030103,   22,    0
  323,20030103,   23,    0
  323,20030103,   24,    0
  323,20030104,    1,    0
  323,20030104,    2,    0
  323,20030104,    3,    0
  323,20030104,    4,    0
