DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
757,19510101,    0,     ,
757,19510102,    0,     ,
757,19510103,    0,     ,
757,19510104,    0,     ,
757,19510105,   16,     ,
757,19510106,   50,     ,
757,19510107,    0,     ,
757,19510108,    0,     ,
757,19510109,   55,     ,
757,19510110,    0,     ,
757,19510111,   40,     ,
757,19510112,  148,     ,
757,19510113,    0,     ,
757,19510114,   11,     ,
757,19510115,   56,     ,
757,19510116,    0,     ,
757,19510117,   80,     ,
757,19510118,  120,     ,
757,19510119,    0,     ,
757,19510120,   91,     ,
757,19510121,   27,     ,
757,19510122,   18,     ,
757,19510123,    9,     ,
757,19510124,    8,     ,
757,19510125,    0,     ,
757,19510126,    0,     ,
757,19510127,   24,     ,
757,19510128,   13,     ,
757,19510129,    4,     ,
757,19510130,    0,     ,
757,19510131,    0,     ,
757,19510201,    0,     ,
757,19510202,    0,     ,
757,19510203,    0,     ,
757,19510204,   16,     ,
757,19510205,   37,     ,
757,19510206,    0,     ,
757,19510207,    0,     ,
757,19510208,    9,     ,
757,19510209,   36,     ,
757,19510210,    0,     ,
757,19510211,    0,     ,
757,19510212,    0,     ,
757,19510213,    0,     ,
757,19510214,   14,     ,
757,19510215,    7,     ,
757,19510216,   30,     ,
757,19510217,    7,     ,
757,19510218,  132,     ,
757,19510219,   13,     ,
757,19510220,   40,     ,
757,19510221,  170,     ,
757,19510222,   33,     ,
757,19510223,   49,     ,
757,19510224,    0,     ,
757,19510225,    0,     ,
757,19510226,    0,     ,
757,19510227,    7,     ,
757,19510228,    0,     ,
757,19510301,    0,     ,
757,19510302,    0,     ,
757,19510303,    0,     ,
757,19510304,    0,     ,
757,19510305,    0,     ,
757,19510306,    0,     ,
757,19510307,    0,     ,
757,19510308,    0,     ,
757,19510309,    0,     ,
757,19510310,    0,     ,
757,19510311,    0,     ,
757,19510312,   64,     ,
757,19510313,   26,     ,
757,19510314,   28,     ,
757,19510315,    0,     ,
757,19510316,    0,     ,
757,19510317,  158,     ,
757,19510318,   35,     ,
757,19510319,   23,     ,
757,19510320,   74,     ,
757,19510321,    0,     ,
757,19510322,   38,     ,
