Tijdstip;m3/s;kg CL/s
31-12-2002 00:00;0;6
1-1-2003 00:00;0;6
2-1-2003 00:00;0;6
3-1-2003 00:00;0;6
4-1-2003 00:00;0;6
5-1-2003 00:00;0;6
6-1-2003 00:00;0;6
7-1-2003 00:00;0;6
8-1-2003 00:00;0;6
9-1-2003 00:00;0;6
10-1-2003 00:00;0;6
11-1-2003 00:00;0;6
12-1-2003 00:00;0;6
13-1-2003 00:00;0;6
14-1-2003 00:00;0;6
15-1-2003 00:00;0;6
16-1-2003 00:00;0;6
17-1-2003 00:00;0;6
18-1-2003 00:00;0;6
19-1-2003 00:00;0;6
20-1-2003 00:00;0;6
21-1-2003 00:00;0;6
22-1-2003 00:00;0;6
23-1-2003 00:00;0;6
24-1-2003 00:00;0;6
25-1-2003 00:00;0;6
26-1-2003 00:00;0;6
27-1-2003 00:00;0;6
28-1-2003 00:00;0;6
29-1-2003 00:00;0;6
30-1-2003 00:00;0;6
31-1-2003 00:00;0;6
1-2-2003 00:00;0;6
2-2-2003 00:00;0;6
3-2-2003 00:00;0;6
4-2-2003 00:00;0;6
5-2-2003 00:00;0;6
6-2-2003 00:00;0;6
7-2-2003 00:00;0;6
8-2-2003 00:00;0;6
9-2-2003 00:00;0;6
10-2-2003 00:00;0;6
11-2-2003 00:00;0;6
12-2-2003 00:00;0;6
13-2-2003 00:00;0;6
14-2-2003 00:00;0;6
15-2-2003 00:00;0;6
16-2-2003 00:00;0;6
17-2-2003 00:00;0;6
18-2-2003 00:00;0;6
19-2-2003 00:00;0;6
20-2-2003 00:00;0;6
21-2-2003 00:00;0;6
22-2-2003 00:00;0;6
23-2-2003 00:00;0;6
24-2-2003 00:00;0;6
25-2-2003 00:00;0;6
26-2-2003 00:00;0;6
27-2-2003 00:00;0;6
28-2-2003 00:00;0;6
1-3-2003 00:00;0;6
2-3-2003 00:00;0;6
3-3-2003 00:00;0;6
4-3-2003 00:00;0;6
5-3-2003 00:00;0;6
6-3-2003 00:00;0;6
7-3-2003 00:00;0;6
8-3-2003 00:00;0;6
9-3-2003 00:00;0;6
10-3-2003 00:00;0;6
11-3-2003 00:00;0;6
12-3-2003 00:00;0;6
13-3-2003 00:00;0;6
14-3-2003 00:00;0;6
15-3-2003 00:00;0;6
16-3-2003 00:00;0;6
17-3-2003 00:00;0;6
18-3-2003 00:00;0;6
19-3-2003 00:00;0;6
20-3-2003 00:00;0;6
21-3-2003 00:00;0;6
22-3-2003 00:00;0;6
23-3-2003 00:00;0;6
24-3-2003 00:00;0;6
25-3-2003 00:00;0;6
26-3-2003 00:00;0;6
27-3-2003 00:00;0;6
28-3-2003 00:00;0;6
29-3-2003 00:00;0;6
