Tijdstip;Q [m3/s];kg CL / s
31-12-2017 00:00;26.309;0
1-1-2018 00:00;37.625;0
2-1-2018 00:00;34.738;0
3-1-2018 00:00;33.335;0
4-1-2018 00:00;28.811;0
5-1-2018 00:00;22.681;0
6-1-2018 00:00;20.602;0
7-1-2018 00:00;15.569;0
8-1-2018 00:00;9.804;0
9-1-2018 00:00;8.843;0
10-1-2018 00:00;12.076;0
11-1-2018 00:00;16.324;0
12-1-2018 00:00;15.145;0
13-1-2018 00:00;12.859;0
14-1-2018 00:00;13.036;0
15-1-2018 00:00;15.44;0
16-1-2018 00:00;39.001;0
17-1-2018 00:00;37.065;0
18-1-2018 00:00;37.602;0
19-1-2018 00:00;40.664;0
20-1-2018 00:00;35.186;0
21-1-2018 00:00;31.831;0
22-1-2018 00:00;33.663;0
23-1-2018 00:00;27.892;0
24-1-2018 00:00;22.672;0
25-1-2018 00:00;24.526;0
26-1-2018 00:00;17.523;0
27-1-2018 00:00;13.485;0
28-1-2018 00:00;15.498;0
29-1-2018 00:00;17.253;0
30-1-2018 00:00;16.237;0
31-1-2018 00:00;22.611;0
1-2-2018 00:00;42.039;0
2-2-2018 00:00;46.377;0
3-2-2018 00:00;51.956;0
4-2-2018 00:00;34.449;0
5-2-2018 00:00;21.81;0
6-2-2018 00:00;18.355;0
7-2-2018 00:00;15.35;0
8-2-2018 00:00;15.078;0
9-2-2018 00:00;10.972;0
10-2-2018 00:00;12.076;0
11-2-2018 00:00;16.442;0
12-2-2018 00:00;17.594;0
13-2-2018 00:00;13.413;0
14-2-2018 00:00;10.561;0
15-2-2018 00:00;13.296;0
16-2-2018 00:00;13.671;0
17-2-2018 00:00;11.885;0
18-2-2018 00:00;10.503;0
19-2-2018 00:00;9.472;0
20-2-2018 00:00;8.751;0
21-2-2018 00:00;9.508;0
22-2-2018 00:00;8.846;0
23-2-2018 00:00;8.513;0
24-2-2018 00:00;9.304;0
25-2-2018 00:00;6.382;0
26-2-2018 00:00;5.282;0
27-2-2018 00:00;5.783;0
28-2-2018 00:00;11.441;0
1-3-2018 00:00;11.611;0
2-3-2018 00:00;1.635;0
3-3-2018 00:00;8.11;0
4-3-2018 00:00;5.893;0
5-3-2018 00:00;8.339;0
6-3-2018 00:00;7.342;0
7-3-2018 00:00;6.818;0
8-3-2018 00:00;10.576;0
9-3-2018 00:00;14.11;0
10-3-2018 00:00;14.342;0
11-3-2018 00:00;25.936;0
12-3-2018 00:00;25.449;0
13-3-2018 00:00;36.399;0
14-3-2018 00:00;36.706;0
15-3-2018 00:00;24.521;0
16-3-2018 00:00;32.756;0
17-3-2018 00:00;29.63;0
18-3-2018 00:00;16.426;0
19-3-2018 00:00;14.87;0
20-3-2018 00:00;8.016;0
21-3-2018 00:00;9.979;0
22-3-2018 00:00;12.801;0
23-3-2018 00:00;14.165;0
24-3-2018 00:00;11.21;0
25-3-2018 00:00;11.431;0
26-3-2018 00:00;9.317;0
27-3-2018 00:00;8.772;0
28-3-2018 00:00;11.288;0
29-3-2018 00:00;18.374;0
30-3-2018 00:00;14.848;0
31-3-2018 00:00;17.272;0
1-4-2018 00:00;36.142;0
2-4-2018 00:00;26.298;0
3-4-2018 00:00;19.451;0
4-4-2018 00:00;19.622;0
5-4-2018 00:00;22.441;0
6-4-2018 00:00;16.69;0
7-4-2018 00:00;13.004;0
8-4-2018 00:00;12.718;0
9-4-2018 00:00;10.689;0
10-4-2018 00:00;9.658;0
11-4-2018 00:00;28.927;0
12-4-2018 00:00;19.713;0
13-4-2018 00:00;15.425;0
14-4-2018 00:00;13.548;0
15-4-2018 00:00;20.516;0
16-4-2018 00:00;17.888;0
17-4-2018 00:00;11.233;0
18-4-2018 00:00;8.462;0
19-4-2018 00:00;6.367;0
20-4-2018 00:00;8.022;0
21-4-2018 00:00;6.442;0
22-4-2018 00:00;6.159;0
23-4-2018 00:00;5.906;0
24-4-2018 00:00;5.499;0
25-4-2018 00:00;5.125;0
26-4-2018 00:00;7.66;0
27-4-2018 00:00;5.678;0
28-4-2018 00:00;4.199;0
29-4-2018 00:00;8.346;0
30-4-2018 00:00;53.476;0
1-5-2018 00:00;76.371;0
2-5-2018 00:00;52.143;0
3-5-2018 00:00;29.058;0
4-5-2018 00:00;15.637;0
5-5-2018 00:00;11.094;0
6-5-2018 00:00;8.557;0
7-5-2018 00:00;6.737;0
8-5-2018 00:00;6.327;0
9-5-2018 00:00;6.025;0
10-5-2018 00:00;8.164;0
11-5-2018 00:00;4.758;0
12-5-2018 00:00;2.807;0
13-5-2018 00:00;4.633;0
14-5-2018 00:00;4.56;0
15-5-2018 00:00;2.191;0
16-5-2018 00:00;3.86;0
17-5-2018 00:00;2.628;0
18-5-2018 00:00;2.225;0
19-5-2018 00:00;2.443;0
20-5-2018 00:00;2.513;0
21-5-2018 00:00;1.153;0
22-5-2018 00:00;2.753;0
23-5-2018 00:00;3.109;0
24-5-2018 00:00;3.747;0
25-5-2018 00:00;5.029;0
26-5-2018 00:00;5.848;0
27-5-2018 00:00;5.658;0
28-5-2018 00:00;6.207;0
29-5-2018 00:00;8.954;0
30-5-2018 00:00;24.548;0
31-5-2018 00:00;14.27;0
1-6-2018 00:00;10.528;0
2-6-2018 00:00;8.542;0
3-6-2018 00:00;6.084;0
4-6-2018 00:00;7.134;0
5-6-2018 00:00;6.894;0
6-6-2018 00:00;6.213;0
7-6-2018 00:00;6.213;0
8-6-2018 00:00;7.482;0
9-6-2018 00:00;7.458;0
10-6-2018 00:00;6.065;0
11-6-2018 00:00;5.69;0
12-6-2018 00:00;7.443;0
13-6-2018 00:00;8.364;0
14-6-2018 00:00;7.098;0
15-6-2018 00:00;7.949;0
16-6-2018 00:00;8.486;0
17-6-2018 00:00;8.72;0
18-6-2018 00:00;8.576;0
19-6-2018 00:00;9.08;0
20-6-2018 00:00;7.374;0
21-6-2018 00:00;8.287;0
22-6-2018 00:00;10.132;0
23-6-2018 00:00;8.922;0
