Tijdstip;Q [m3/s];kg CL / s
31-12-2017 00:00;27.09827;0
1-1-2018 00:00;38.75375;0
2-1-2018 00:00;35.78014;0
3-1-2018 00:00;34.33505;0
4-1-2018 00:00;29.67533;0
5-1-2018 00:00;23.36143;0
6-1-2018 00:00;21.22006;0
7-1-2018 00:00;16.03607;0
8-1-2018 00:00;10.09812;0
9-1-2018 00:00;9.10829;0
10-1-2018 00:00;12.43828;0
11-1-2018 00:00;16.81372;0
12-1-2018 00:00;15.59935;0
13-1-2018 00:00;13.24477;0
14-1-2018 00:00;13.42708;0
15-1-2018 00:00;15.9032;0
16-1-2018 00:00;40.17103;0
17-1-2018 00:00;38.17695;0
18-1-2018 00:00;38.73006;0
19-1-2018 00:00;41.88392;0
20-1-2018 00:00;36.24158;0
21-1-2018 00:00;32.78593;0
22-1-2018 00:00;34.67289;0
23-1-2018 00:00;28.72876;0
24-1-2018 00:00;23.35216;0
25-1-2018 00:00;25.26178;0
26-1-2018 00:00;18.04869;0
27-1-2018 00:00;13.88955;0
28-1-2018 00:00;15.96294;0
29-1-2018 00:00;17.77059;0
30-1-2018 00:00;16.72411;0
31-1-2018 00:00;23.28933;0
1-2-2018 00:00;43.30017;0
2-2-2018 00:00;47.76831;0
3-2-2018 00:00;53.51468;0
4-2-2018 00:00;35.48247;0
5-2-2018 00:00;22.4643;0
6-2-2018 00:00;18.90565;0
7-2-2018 00:00;15.8105;0
8-2-2018 00:00;15.53034;0
9-2-2018 00:00;11.30116;0
10-2-2018 00:00;12.43828;0
11-2-2018 00:00;16.93526;0
12-2-2018 00:00;18.12182;0
13-2-2018 00:00;13.81539;0
14-2-2018 00:00;10.87783;0
15-2-2018 00:00;13.69488;0
16-2-2018 00:00;14.08113;0
17-2-2018 00:00;12.24155;0
18-2-2018 00:00;10.81809;0
19-2-2018 00:00;9.75616;0
20-2-2018 00:00;9.01353;0
21-2-2018 00:00;9.79324;0
22-2-2018 00:00;9.11138;0
23-2-2018 00:00;8.76839;0
24-2-2018 00:00;9.58312;0
25-2-2018 00:00;6.57346;0
26-2-2018 00:00;5.44046;0
27-2-2018 00:00;5.95649;0
28-2-2018 00:00;11.78423;0
1-3-2018 00:00;11.95933;0
2-3-2018 00:00;1.68405;0
3-3-2018 00:00;8.3533;0
4-3-2018 00:00;6.06979;0
5-3-2018 00:00;8.58917;0
6-3-2018 00:00;7.56226;0
7-3-2018 00:00;7.02254;0
8-3-2018 00:00;10.89328;0
9-3-2018 00:00;14.5333;0
10-3-2018 00:00;14.77226;0
11-3-2018 00:00;26.71408;0
12-3-2018 00:00;26.21247;0
13-3-2018 00:00;37.49097;0
14-3-2018 00:00;37.80718;0
15-3-2018 00:00;25.25663;0
16-3-2018 00:00;33.73868;0
17-3-2018 00:00;30.5189;0
18-3-2018 00:00;16.91878;0
19-3-2018 00:00;15.3161;0
20-3-2018 00:00;8.25648;0
21-3-2018 00:00;10.47795;0
22-3-2018 00:00;13.44105;0
23-3-2018 00:00;14.87325;0
24-3-2018 00:00;11.7705;0
25-3-2018 00:00;12.00255;0
26-3-2018 00:00;9.78285;0
27-3-2018 00:00;9.2106;0
28-3-2018 00:00;11.8524;0
29-3-2018 00:00;19.2927;0
30-3-2018 00:00;15.5904;0
31-3-2018 00:00;18.1356;0
1-4-2018 00:00;40.4491;0
2-4-2018 00:00;30.1129;0
3-4-2018 00:00;22.92355;0
4-4-2018 00:00;23.1031;0
5-4-2018 00:00;26.06305;0
6-4-2018 00:00;20.0245;0
7-4-2018 00:00;16.1542;0
8-4-2018 00:00;15.8539;0
9-4-2018 00:00;13.72345;0
10-4-2018 00:00;12.6409;0
11-4-2018 00:00;32.87335;0
12-4-2018 00:00;23.19865;0
13-4-2018 00:00;18.69625;0
14-4-2018 00:00;16.7254;0
15-4-2018 00:00;24.0418;0
16-4-2018 00:00;21.2824;0
17-4-2018 00:00;14.29465;0
18-4-2018 00:00;11.3851;0
19-4-2018 00:00;9.18535;0
20-4-2018 00:00;10.9231;0
21-4-2018 00:00;9.2641;0
22-4-2018 00:00;8.96695;0
23-4-2018 00:00;8.7013;0
24-4-2018 00:00;8.27395;0
25-4-2018 00:00;7.88125;0
26-4-2018 00:00;10.543;0
27-4-2018 00:00;8.4619;0
28-4-2018 00:00;6.90895;0
29-4-2018 00:00;11.2633;0
30-4-2018 00:00;58.6498;0
1-5-2018 00:00;82.68955;0
2-5-2018 00:00;57.25015;0
3-5-2018 00:00;33.0109;0
4-5-2018 00:00;18.91885;0
5-5-2018 00:00;14.1487;0
6-5-2018 00:00;11.48485;0
7-5-2018 00:00;9.57385;0
8-5-2018 00:00;9.14335;0
9-5-2018 00:00;8.82625;0
10-5-2018 00:00;11.0722;0
11-5-2018 00:00;7.4959;0
12-5-2018 00:00;5.44735;0
13-5-2018 00:00;7.36465;0
14-5-2018 00:00;7.288;0
15-5-2018 00:00;4.80055;0
16-5-2018 00:00;6.553;0
