Tijdstip;Q [m3/s];kg CL / s
31-12-2016 00:00;2.29587;0
1-1-2017 00:00;2.17639;0
2-1-2017 00:00;1.75615;0
3-1-2017 00:00;1.4626;0
4-1-2017 00:00;0.33166;0
5-1-2017 00:00;2.11871;0
6-1-2017 00:00;1.88387;0
7-1-2017 00:00;2.6471;0
8-1-2017 00:00;2.37106;0
9-1-2017 00:00;2.94786;0
10-1-2017 00:00;4.61234;0
11-1-2017 00:00;3.34029;0
12-1-2017 00:00;3.33308;0
13-1-2017 00:00;15.35627;0
14-1-2017 00:00;13.26434;0
15-1-2017 00:00;9.90448;0
16-1-2017 00:00;6.69912;0
17-1-2017 00:00;3.85529;0
18-1-2017 00:00;3.13223;0
19-1-2017 00:00;1.53573;0
20-1-2017 00:00;2.09811;0
21-1-2017 00:00;0.74469;0
22-1-2017 00:00;1.93537;0
23-1-2017 00:00;1.74482;0
24-1-2017 00:00;1.84679;0
25-1-2017 00:00;1.3699;0
26-1-2017 00:00;1.66448;0
27-1-2017 00:00;0.20497;0
28-1-2017 00:00;0.70143;0
29-1-2017 00:00;1.94773;0
30-1-2017 00:00;3.95417;0
31-1-2017 00:00;3.42578;0
1-2-2017 00:00;3.48243;0
2-2-2017 00:00;3.31763;0
3-2-2017 00:00;2.31853;0
4-2-2017 00:00;2.5338;0
5-2-2017 00:00;3.01378;0
6-2-2017 00:00;2.60384;0
7-2-2017 00:00;2.68109;0
8-2-2017 00:00;2.84898;0
9-2-2017 00:00;2.44007;0
10-2-2017 00:00;1.74173;0
11-2-2017 00:00;1.82722;0
12-2-2017 00:00;2.27836;0
13-2-2017 00:00;2.11562;0
14-2-2017 00:00;2.5441;0
15-2-2017 00:00;1.27514;0
16-2-2017 00:00;0.68392;0
17-2-2017 00:00;0.70864;0
18-2-2017 00:00;1.87151;0
19-2-2017 00:00;1.04957;0
20-2-2017 00:00;0.90022;0
21-2-2017 00:00;-0.135;0
22-2-2017 00:00;1.88387;0
23-2-2017 00:00;11.79865;0
24-2-2017 00:00;10.77174;0
25-2-2017 00:00;6.45913;0
26-2-2017 00:00;4.48359;0
27-2-2017 00:00;4.91516;0
28-2-2017 00:00;8.36669;0
1-3-2017 00:00;12.93577;0
2-3-2017 00:00;8.85491;0
3-3-2017 00:00;4.97902;0
4-3-2017 00:00;3.70079;0
5-3-2017 00:00;3.7698;0
6-3-2017 00:00;4.30952;0
7-3-2017 00:00;3.65959;0
8-3-2017 00:00;6.80006;0
9-3-2017 00:00;9.56046;0
10-3-2017 00:00;6.32832;0
11-3-2017 00:00;4.14987;0
12-3-2017 00:00;3.27952;0
13-3-2017 00:00;1.82619;0
14-3-2017 00:00;1.73761;0
15-3-2017 00:00;1.63255;0
16-3-2017 00:00;1.62328;0
17-3-2017 00:00;0.4017;0
18-3-2017 00:00;1.96112;0
19-3-2017 00:00;3.2136;0
20-3-2017 00:00;2.9561;0
21-3-2017 00:00;4.19685;0
22-3-2017 00:00;3.52275;0
23-3-2017 00:00;3.6519;0
24-3-2017 00:00;2.814;0
25-3-2017 00:00;2.9127;0
26-3-2017 00:00;2.2512;0
27-3-2017 00:00;1.37865;0
28-3-2017 00:00;0.62055;0
29-3-2017 00:00;0.3822;0
30-3-2017 00:00;0.8337;0
31-3-2017 00:00;1.15395;0
1-4-2017 00:00;0.8064;0
2-4-2017 00:00;0.6531;0
3-4-2017 00:00;0.6069;0
4-4-2017 00:00;0.57645;0
5-4-2017 00:00;-0.678;0
6-4-2017 00:00;0.3402;0
7-4-2017 00:00;0.0756;0
8-4-2017 00:00;0.672;0
9-4-2017 00:00;1.6212;0
10-4-2017 00:00;-0.946;0
11-4-2017 00:00;0.19215;0
12-4-2017 00:00;0.42945;0
13-4-2017 00:00;-0.981;0
14-4-2017 00:00;0.26565;0
15-4-2017 00:00;-0.256;0
16-4-2017 00:00;-0.722;0
17-4-2017 00:00;-0.323;0
18-4-2017 00:00;0.46935;0
19-4-2017 00:00;0.8001;0
20-4-2017 00:00;1.1277;0
21-4-2017 00:00;-0.472;0
22-4-2017 00:00;-0.505;0
