Tijdstip;Q [m3/s];kg CL / s
31-12-2017 00:00;10.541;0
1-1-2018 00:00;14.113;0
2-1-2018 00:00;11.764;0
3-1-2018 00:00;11.072;0
4-1-2018 00:00;8.174;0
5-1-2018 00:00;7.004;0
6-1-2018 00:00;4.736;0
7-1-2018 00:00;3.277;0
8-1-2018 00:00;1.933;0
9-1-2018 00:00;1.041;0
10-1-2018 00:00;1.977;0
11-1-2018 00:00;2.684;0
12-1-2018 00:00;2.02;0
13-1-2018 00:00;1.988;0
14-1-2018 00:00;1.883;0
15-1-2018 00:00;3.223;0
16-1-2018 00:00;5.361;0
17-1-2018 00:00;4.166;0
18-1-2018 00:00;5.203;0
19-1-2018 00:00;5.884;0
20-1-2018 00:00;5.592;0
21-1-2018 00:00;4.009;0
22-1-2018 00:00;5.49;0
23-1-2018 00:00;4.723;0
24-1-2018 00:00;3.716;0
25-1-2018 00:00;4.207;0
26-1-2018 00:00;2.301;0
27-1-2018 00:00;2.479;0
28-1-2018 00:00;1.175;0
29-1-2018 00:00;0.811;0
30-1-2018 00:00;2.243;0
31-1-2018 00:00;3.237;0
1-2-2018 00:00;4.164;0
2-2-2018 00:00;4.164;0
3-2-2018 00:00;4.164;0
4-2-2018 00:00;5.091;0
5-2-2018 00:00;2.385;0
6-2-2018 00:00;2.132;0
7-2-2018 00:00;1.563;0
8-2-2018 00:00;1.781;0
9-2-2018 00:00;1.62;0
10-2-2018 00:00;1.137;0
11-2-2018 00:00;1.762;0
12-2-2018 00:00;0.855;0
13-2-2018 00:00;2.117;0
14-2-2018 00:00;2.054;0
15-2-2018 00:00;2.173;0
16-2-2018 00:00;1.436;0
17-2-2018 00:00;1.441;0
18-2-2018 00:00;1.308;0
19-2-2018 00:00;1.578;0
20-2-2018 00:00;1.186;0
21-2-2018 00:00;1.318;0
22-2-2018 00:00;1.257;0
23-2-2018 00:00;1.111;0
24-2-2018 00:00;1.315;0
25-2-2018 00:00;1.299;0
26-2-2018 00:00;0.326;0
27-2-2018 00:00;-0.251;0
28-2-2018 00:00;-1.163;0
1-3-2018 00:00;-3.246;0
2-3-2018 00:00;-2.631;0
3-3-2018 00:00;-0.514;0
4-3-2018 00:00;1.049;0
5-3-2018 00:00;0.588;0
6-3-2018 00:00;0.729;0
7-3-2018 00:00;0.576;0
8-3-2018 00:00;-0.343;0
9-3-2018 00:00;2.722;0
10-3-2018 00:00;3.212;0
11-3-2018 00:00;7.734;0
12-3-2018 00:00;7.223;0
13-3-2018 00:00;8.058;0
14-3-2018 00:00;7.773;0
15-3-2018 00:00;7.072;0
16-3-2018 00:00;6.726;0
17-3-2018 00:00;5.045;0
18-3-2018 00:00;2.151;0
19-3-2018 00:00;2.023;0
20-3-2018 00:00;-0.014;0
21-3-2018 00:00;-0.04;0
22-3-2018 00:00;0.713;0
23-3-2018 00:00;2.798;0
24-3-2018 00:00;2.921;0
25-3-2018 00:00;1.813;0
26-3-2018 00:00;0.908;0
27-3-2018 00:00;2.451;0
28-3-2018 00:00;2.14;0
29-3-2018 00:00;2.896;0
30-3-2018 00:00;4.583;0
31-3-2018 00:00;3.642;0
1-4-2018 00:00;5.565;0
2-4-2018 00:00;5.118;0
3-4-2018 00:00;3.817;0
4-4-2018 00:00;3.921;0
5-4-2018 00:00;2.247;0
6-4-2018 00:00;3.44;0
7-4-2018 00:00;2.978;0
8-4-2018 00:00;2.487;0
9-4-2018 00:00;2.159;0
10-4-2018 00:00;2.839;0
11-4-2018 00:00;5.449;0
12-4-2018 00:00;4.002;0
13-4-2018 00:00;2.098;0
14-4-2018 00:00;2.51;0
15-4-2018 00:00;4.476;0
16-4-2018 00:00;2.512;0
17-4-2018 00:00;2.023;0
18-4-2018 00:00;2.373;0
19-4-2018 00:00;1.995;0
20-4-2018 00:00;0.527;0
21-4-2018 00:00;1.136;0
22-4-2018 00:00;0.52;0
23-4-2018 00:00;0.372;0
24-4-2018 00:00;0.572;0
25-4-2018 00:00;0.201;0
26-4-2018 00:00;-0.144;0
27-4-2018 00:00;1.797;0
28-4-2018 00:00;1.105;0
29-4-2018 00:00;1.353;0
30-4-2018 00:00;8.623;0
1-5-2018 00:00;12.425;0
2-5-2018 00:00;7.257;0
3-5-2018 00:00;3.922;0
4-5-2018 00:00;1.944;0
5-5-2018 00:00;1.648;0
6-5-2018 00:00;1.336;0
7-5-2018 00:00;1.487;0
8-5-2018 00:00;1.23;0
9-5-2018 00:00;-0.204;0
10-5-2018 00:00;0.418;0
11-5-2018 00:00;1.409;0
12-5-2018 00:00;0.856;0
13-5-2018 00:00;0.392;0
14-5-2018 00:00;-0.437;0
15-5-2018 00:00;0.448;0
16-5-2018 00:00;-0.806;0
17-5-2018 00:00;-0.77;0
18-5-2018 00:00;-0.191;0
19-5-2018 00:00;0.194;0
20-5-2018 00:00;0.918;0
