Tijdstip;m NAP
31-12-2002 00:00;0.15
1-1-2003 00:00;0.15
2-1-2003 00:00;0.15
3-1-2003 00:00;0.15
4-1-2003 00:00;0.15
5-1-2003 00:00;0.15
6-1-2003 00:00;0.15
7-1-2003 00:00;0.15
8-1-2003 00:00;0.15
9-1-2003 00:00;0.15
10-1-2003 00:00;0.15
11-1-2003 00:00;0.15
12-1-2003 00:00;0.15
13-1-2003 00:00;0.15
14-1-2003 00:00;0.15
15-1-2003 00:00;0.15
16-1-2003 00:00;0.15
17-1-2003 00:00;0.15
18-1-2003 00:00;0.15
19-1-2003 00:00;0.15
20-1-2003 00:00;0.15
21-1-2003 00:00;0.15
22-1-2003 00:00;0.15
23-1-2003 00:00;0.15
24-1-2003 00:00;0.15
25-1-2003 00:00;0.15
26-1-2003 00:00;0.15
27-1-2003 00:00;0.15
28-1-2003 00:00;0.15
29-1-2003 00:00;0.15
30-1-2003 00:00;0.15
31-1-2003 00:00;0.15
1-2-2003 00:00;0.15
2-2-2003 00:00;0.15
3-2-2003 00:00;0.15
4-2-2003 00:00;0.15
5-2-2003 00:00;0.15
6-2-2003 00:00;0.15
7-2-2003 00:00;0.15
8-2-2003 00:00;0.15
9-2-2003 00:00;0.15
10-2-2003 00:00;0.15
11-2-2003 00:00;0.15
12-2-2003 00:00;0.15
13-2-2003 00:00;0.15
14-2-2003 00:00;0.15
15-2-2003 00:00;0.15
16-2-2003 00:00;0.15
17-2-2003 00:00;0.15
18-2-2003 00:00;0.15
19-2-2003 00:00;0.15
20-2-2003 00:00;0.15
21-2-2003 00:00;0.15
22-2-2003 00:00;0.15
23-2-2003 00:00;0.15
24-2-2003 00:00;0.15
25-2-2003 00:00;0.15
26-2-2003 00:00;0.15
27-2-2003 00:00;0.15
28-2-2003 00:00;0.15
1-3-2003 00:00;0.15
2-3-2003 00:00;0.15
3-3-2003 00:00;0.15
4-3-2003 00:00;0.15
5-3-2003 00:00;0.15
6-3-2003 00:00;0.15
7-3-2003 00:00;0.15
8-3-2003 00:00;0.15
9-3-2003 00:00;0.15
10-3-2003 00:00;0.15
11-3-2003 00:00;0.15
12-3-2003 00:00;0.15
13-3-2003 00:00;0.15
14-3-2003 00:00;0.15
15-3-2003 00:00;0.15
16-3-2003 00:00;0.15
17-3-2003 00:00;0.15
18-3-2003 00:00;0.15
19-3-2003 00:00;0.15
20-3-2003 00:00;0.15
21-3-2003 00:00;0.15
22-3-2003 00:00;0.15
23-3-2003 00:00;0.15
24-3-2003 00:00;0.15
25-3-2003 00:00;0.15
26-3-2003 00:00;0.15
27-3-2003 00:00;0.15
28-3-2003 00:00;0.15
29-3-2003 00:00;0.15
30-3-2003 00:00;0.15
31-3-2003 00:00;0.15
1-4-2003 00:00;0.15
2-4-2003 00:00;0.15
3-4-2003 00:00;0.15
4-4-2003 00:00;0.15
5-4-2003 00:00;0.15
6-4-2003 00:00;0.15
7-4-2003 00:00;0.15
8-4-2003 00:00;0.15
9-4-2003 00:00;0.15
10-4-2003 00:00;0.15
11-4-2003 00:00;0.15
12-4-2003 00:00;0.15
13-4-2003 00:00;0.15
14-4-2003 00:00;0.15
15-4-2003 00:00;0.15
16-4-2003 00:00;0.15
17-4-2003 00:00;0.15
18-4-2003 00:00;0.15
19-4-2003 00:00;0.15
20-4-2003 00:00;0.15
21-4-2003 00:00;0.15
22-4-2003 00:00;0.15
23-4-2003 00:00;0.15
24-4-2003 00:00;0.15
25-4-2003 00:00;0.15
26-4-2003 00:00;0.15
