Tijdstip;Q [m3/s];kg CL / s
31-12-2016 00:00;7.492;0
1-1-2017 00:00;7.492;0
2-1-2017 00:00;7.492;0
3-1-2017 00:00;7.492;0
4-1-2017 00:00;7.492;0
5-1-2017 00:00;7.492;0
6-1-2017 00:00;7.492;0
7-1-2017 00:00;7.492;0
8-1-2017 00:00;7.492;0
9-1-2017 00:00;7.492;0
10-1-2017 00:00;7.492;0
11-1-2017 00:00;17.167;0
12-1-2017 00:00;18.208;0
13-1-2017 00:00;67.952;0
14-1-2017 00:00;75.689;0
15-1-2017 00:00;48.068;0
16-1-2017 00:00;32.955;0
17-1-2017 00:00;19.687;0
18-1-2017 00:00;16.791;0
19-1-2017 00:00;13.401;0
20-1-2017 00:00;12.625;0
21-1-2017 00:00;10.278;0
22-1-2017 00:00;8.36;0
23-1-2017 00:00;7.223;0
24-1-2017 00:00;7.15;0
25-1-2017 00:00;8;0
26-1-2017 00:00;6.961;0
27-1-2017 00:00;7.119;0
28-1-2017 00:00;7.009;0
29-1-2017 00:00;7.354;0
30-1-2017 00:00;17.032;0
31-1-2017 00:00;16.488;0
1-2-2017 00:00;13.115;0
2-2-2017 00:00;12.362;0
3-2-2017 00:00;11.203;0
4-2-2017 00:00;10.083;0
5-2-2017 00:00;14.691;0
6-2-2017 00:00;13.33;0
7-2-2017 00:00;11.032;0
8-2-2017 00:00;11.692;0
9-2-2017 00:00;11.342;0
10-2-2017 00:00;8.431;0
11-2-2017 00:00;10.008;0
12-2-2017 00:00;10.558;0
13-2-2017 00:00;8.42;0
14-2-2017 00:00;8.592;0
15-2-2017 00:00;5.39;0
16-2-2017 00:00;6.915;0
17-2-2017 00:00;8.488;0
18-2-2017 00:00;7.587;0
19-2-2017 00:00;7.401;0
20-2-2017 00:00;7.213;0
21-2-2017 00:00;9.902;0
22-2-2017 00:00;14.535;0
23-2-2017 00:00;66.693;0
24-2-2017 00:00;63.034;0
25-2-2017 00:00;32.481;0
26-2-2017 00:00;24.407;0
27-2-2017 00:00;26.634;0
28-2-2017 00:00;45.461;0
1-3-2017 00:00;59.513;0
2-3-2017 00:00;48.549;0
3-3-2017 00:00;29.624;0
4-3-2017 00:00;22.985;0
5-3-2017 00:00;25.837;0
6-3-2017 00:00;32.691;0
7-3-2017 00:00;31.298;0
8-3-2017 00:00;35.6;0
9-3-2017 00:00;63.612;0
10-3-2017 00:00;37.867;0
11-3-2017 00:00;24.494;0
12-3-2017 00:00;19.83;0
13-3-2017 00:00;16.426;0
14-3-2017 00:00;12.838;0
15-3-2017 00:00;12.059;0
16-3-2017 00:00;10.238;0
17-3-2017 00:00;10.83;0
18-3-2017 00:00;23.255;0
19-3-2017 00:00;30.654;0
20-3-2017 00:00;26.01;0
21-3-2017 00:00;30.221;0
22-3-2017 00:00;19.927;0
23-3-2017 00:00;17.443;0
24-3-2017 00:00;10.492;0
25-3-2017 00:00;13.432;0
26-3-2017 00:00;10.175;0
27-3-2017 00:00;6.956;0
28-3-2017 00:00;6.73;0
29-3-2017 00:00;7.555;0
30-3-2017 00:00;6.764;0
31-3-2017 00:00;6.759;0
1-4-2017 00:00;6.4;0
2-4-2017 00:00;7.663;0
3-4-2017 00:00;4.739;0
4-4-2017 00:00;4.952;0
5-4-2017 00:00;4.776;0
6-4-2017 00:00;5.439;0
7-4-2017 00:00;4.44;0
8-4-2017 00:00;4.883;0
9-4-2017 00:00;5.238;0
10-4-2017 00:00;4.289;0
11-4-2017 00:00;4.891;0
12-4-2017 00:00;4.072;0
13-4-2017 00:00;5.472;0
