Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;dagen;dagen;dagen;dagen;dagen;dagen;dagen;dagen;dagen;dagen
1;59;86;97;113;87;78;68;70;67;180;86
2;57;85;96;110;86;76;67;68;66;180;85
3;59;86;97;113;87;78;68;70;67;180;86
4;57;85;96;110;86;76;67;68;66;180;85
5;83;97;112;124;118;120;121;125;121;182;113
6;82;96;110;121;115;118;119;124;120;182;110
7;83;97;112;124;118;120;121;125;121;182;113
8;82;96;110;121;115;118;119;124;120;182;110
9;58;85;97;112;86;77;68;70;67;180;85
10;56;84;95;108;85;76;67;68;66;180;85
11;58;85;97;112;86;77;68;70;67;180;85
12;56;84;95;108;85;76;67;68;66;180;85
13;83;97;111;123;118;120;121;126;121;182;112
14;81;95;109;121;115;118;119;124;120;182;109
15;83;97;111;123;118;120;121;126;121;182;112
16;81;95;109;121;115;118;119;124;120;182;109
17;59;85;97;112;85;76;65;67;64;179;85
18;57;84;95;108;84;75;64;66;64;179;84
19;59;85;97;112;85;76;65;67;64;179;85
20;57;84;95;108;84;75;64;66;64;179;84
21;83;97;111;122;115;118;118;122;118;180;110
22;81;95;108;120;113;116;116;121;117;180;108
23;83;97;111;122;115;118;118;122;118;180;110
24;81;95;108;120;113;116;116;121;117;180;108
25;59;86;97;112;86;76;66;68;65;179;85
26;58;85;95;109;84;75;65;66;64;179;84
27;59;86;97;112;86;76;66;68;65;179;85
28;58;85;95;109;84;75;65;66;64;179;84
29;83;97;111;122;116;118;118;123;118;180;111
30;82;95;109;120;114;116;116;121;117;180;108
31;83;97;111;122;116;118;118;123;118;180;111
32;82;95;109;120;114;116;116;121;117;180;108
33;61;86;97;113;86;76;66;68;65;179;86
34;58;85;96;110;85;75;65;67;64;179;85
35;61;86;97;113;86;76;66;68;65;179;86
36;58;85;96;110;85;75;65;67;64;179;85
37;84;97;111;122;116;118;118;123;118;180;111
38;82;96;109;121;114;116;117;121;117;180;109
39;84;97;111;122;116;118;118;123;118;180;111
40;82;96;109;121;114;116;117;121;117;180;109
41;61;86;98;113;87;77;67;69;66;179;86
42;59;85;97;111;85;76;66;67;64;179;85
43;61;86;98;113;87;77;67;69;66;179;86
44;59;85;97;111;85;76;66;67;64;179;85
45;84;98;112;124;117;119;119;123;119;180;112
46;82;96;110;121;115;117;117;121;118;180;109
47;84;98;112;124;117;119;119;123;119;180;112
48;82;96;110;121;115;117;117;121;118;180;109
49;61;87;98;113;87;77;67;69;66;179;86
50;59;85;97;112;86;76;66;68;65;179;85
51;61;87;98;113;87;77;67;69;66;179;86
52;59;85;97;112;86;76;66;68;65;179;85
53;84;99;112;125;117;119;119;124;119;182;112
54;82;97;110;121;115;117;118;122;118;182;110
55;84;99;112;125;117;119;119;124;119;182;112
56;82;97;110;121;115;117;118;122;118;182;110
57;61;87;98;113;87;77;68;69;66;179;86
58;59;85;97;112;86;76;66;68;65;179;85
