Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l
1;516.2979736328125;565.28271484375;603.4728393554688;645.8047485351562;603.746826171875;616.1531982421875;665.0814208984375;675.8121337890625;685.3563232421875;1053.3116455078125;587.721435546875
2;513.075927734375;561.8596801757812;599.9297485351562;642.1921997070312;599.6032104492188;612.93212890625;661.2013549804688;671.802978515625;680.8214721679688;1049.648193359375;583.5361328125
3;516.2979736328125;565.28271484375;603.4728393554688;645.8047485351562;603.746826171875;616.1531982421875;665.0814208984375;675.8121337890625;685.3563232421875;1053.3116455078125;587.721435546875
4;513.075927734375;561.8596801757812;599.9297485351562;642.1921997070312;599.6032104492188;612.93212890625;661.2013549804688;671.802978515625;680.8214721679688;1049.648193359375;583.5361328125
5;555.7362670898438;609.1524658203125;650.7488403320312;695.61572265625;699.3182373046875;784.3009643554688;868.322265625;888.2689208984375;893.42333984375;1102.55322265625;674.7888793945312
6;552.235595703125;605.4363403320312;646.9050903320312;691.6953125;694.7146606445312;780.8043212890625;863.8848266601562;883.678955078125;888.1991577148438;1098.5692138671875;669.9664916992188
7;555.7362670898438;609.1524658203125;650.7488403320312;695.61572265625;699.3182373046875;784.3009643554688;868.322265625;888.2689208984375;893.42333984375;1102.55322265625;674.7888793945312
8;552.235595703125;605.4363403320312;646.9050903320312;691.6953125;694.7146606445312;780.8043212890625;863.8848266601562;883.678955078125;888.1991577148438;1098.5692138671875;669.9664916992188
9;514.6583251953125;563.538818359375;601.630859375;643.8241577148438;602.1773681640625;615.9742431640625;664.712646484375;675.3978881835938;684.7841186523438;1054.1170654296875;586.4055786132812
10;511.4497985839844;560.13232421875;598.1068115234375;640.2325439453125;598.0631103515625;612.7699584960938;660.833984375;671.3906860351562;680.2535400390625;1050.4775390625;582.2448120117188
11;514.6583251953125;563.538818359375;601.630859375;643.8241577148438;602.1773681640625;615.9742431640625;664.712646484375;675.3978881835938;684.7841186523438;1054.1170654296875;586.4055786132812
12;511.4497985839844;560.13232421875;598.1068115234375;640.2325439453125;598.0631103515625;612.7699584960938;660.833984375;671.3906860351562;680.2535400390625;1050.4775390625;582.2448120117188
13;554.0942993164062;607.4052124023438;648.90283203125;693.6310424804688;697.6334228515625;784.2222290039062;867.9613647460938;887.8596801757812;892.8377685546875;1103.357177734375;673.151123046875
14;550.6071166992188;603.7056884765625;645.0780639648438;689.7315063476562;693.0641479492188;780.7218017578125;863.5257568359375;883.2720947265625;887.6181030273438;1099.397216796875;668.3631591796875
15;554.0942993164062;607.4052124023438;648.90283203125;693.6310424804688;697.6334228515625;784.2222290039062;867.9613647460938;887.8596801757812;892.8377685546875;1103.357177734375;673.151123046875
16;550.6071166992188;603.7056884765625;645.0780639648438;689.7315063476562;693.0641479492188;780.7218017578125;863.5257568359375;883.2720947265625;887.6181030273438;1099.397216796875;668.3631591796875
17;519.4473876953125;569.1634521484375;607.8125;650.51611328125;606.2099609375;610.1732788085938;660.9421997070312;670.7593994140625;680.9530029296875;1084.6995849609375;590.0304565429688
18;516.0454711914062;565.5572509765625;604.0879516601562;646.7261352539062;602.02294921875;606.6830444335938;656.4315185546875;666.5169067382812;676.4140625;1080.8494873046875;585.6471557617188
19;519.4473876953125;569.1634521484375;607.8125;650.51611328125;606.2099609375;610.1732788085938;660.9421997070312;670.7593994140625;680.9530029296875;1084.6995849609375;590.0304565429688
20;516.0454711914062;565.5572509765625;604.0879516601562;646.7261352539062;602.02294921875;606.6830444335938;656.4315185546875;666.5169067382812;676.4140625;1080.8494873046875;585.6471557617188
21;558.88330078125;613.0279541015625;655.0809326171875;700.32080078125;700.9465942382812;776.8028564453125;862.35791015625;882.5850219726562;888.8086547851562;1133.9449462890625;676.5318603515625
22;555.1983642578125;609.1241455078125;651.0509033203125;696.21826171875;696.1090087890625;773.2954711914062;857.9172973632812;877.9891967773438;883.5724487304688;1129.76904296875;671.5032348632812
23;558.88330078125;613.0279541015625;655.0809326171875;700.32080078125;700.9465942382812;776.8028564453125;862.35791015625;882.5850219726562;888.8086547851562;1133.9449462890625;676.5318603515625
24;555.1983642578125;609.1241455078125;651.0509033203125;696.21826171875;696.1090087890625;773.2954711914062;857.9172973632812;877.9891967773438;883.5724487304688;1129.76904296875;671.5032348632812
25;521.0201416015625;570.883544921875;609.6625366210938;652.5379028320312;607.83984375;612.0165405273438;662.6414794921875;672.4369506835938;682.6300659179688;1087.178955078125;591.5426635742188
