Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l;g CL/l
1;516.2979736328125;565.28271484375;603.4728393554688;645.8047485351562;603.746826171875;601.0784912109375;594.1878051757812;599.2835083007812;595.1064453125;1053.3116455078125;587.721435546875
2;513.075927734375;561.8596801757812;599.9297485351562;642.1921997070312;599.6032104492188;596.1257934570312;588.3995361328125;593.3897094726562;588.948486328125;1049.648193359375;583.5361328125
3;516.2979736328125;565.28271484375;603.4728393554688;645.8047485351562;603.746826171875;601.0784912109375;594.1878051757812;599.2835083007812;595.1064453125;1053.3116455078125;587.721435546875
4;513.075927734375;561.8596801757812;599.9297485351562;642.1921997070312;599.6032104492188;596.1257934570312;588.3995361328125;593.3897094726562;588.948486328125;1049.648193359375;583.5361328125
5;555.7362670898438;609.1524658203125;650.7488403320312;695.61572265625;699.3182373046875;731.3731689453125;761.6819458007812;775.8289184570312;770.7141723632812;1102.55322265625;674.7888793945312
6;552.235595703125;605.4363403320312;646.9050903320312;691.6953125;694.7146606445312;726.3834228515625;755.9468383789062;769.9918823242188;764.607666015625;1098.5692138671875;669.9664916992188
7;555.7362670898438;609.1524658203125;650.7488403320312;695.61572265625;699.3182373046875;731.3731689453125;761.6819458007812;775.8289184570312;770.7141723632812;1102.55322265625;674.7888793945312
8;552.235595703125;605.4363403320312;646.9050903320312;691.6953125;694.7146606445312;726.3834228515625;755.9468383789062;769.9918823242188;764.607666015625;1098.5692138671875;669.9664916992188
9;514.6583251953125;563.538818359375;601.630859375;643.8241577148438;602.1773681640625;599.6455688476562;592.975830078125;598.0858764648438;593.9761352539062;1054.1170654296875;586.4055786132812
10;511.4497985839844;560.13232421875;598.1068115234375;640.2325439453125;598.0631103515625;594.7403564453125;587.2518920898438;592.2579956054688;587.8884887695312;1050.4775390625;582.2448120117188
11;514.6583251953125;563.538818359375;601.630859375;643.8241577148438;602.1773681640625;599.6455688476562;592.975830078125;598.0858764648438;593.9761352539062;1054.1170654296875;586.4055786132812
12;511.4497985839844;560.13232421875;598.1068115234375;640.2325439453125;598.0631103515625;594.7403564453125;587.2518920898438;592.2579956054688;587.8884887695312;1050.4775390625;582.2448120117188
13;554.0942993164062;607.4052124023438;648.90283203125;693.6310424804688;697.6334228515625;729.7794799804688;760.3584594726562;774.5200805664062;769.494384765625;1103.357177734375;673.151123046875
14;550.6071166992188;603.7056884765625;645.0780639648438;689.7315063476562;693.0641479492188;724.8402099609375;754.6925048828125;768.7539672851562;763.4639282226562;1099.397216796875;668.3631591796875
15;554.0942993164062;607.4052124023438;648.90283203125;693.6310424804688;697.6334228515625;729.7794799804688;760.3584594726562;774.5200805664062;769.494384765625;1103.357177734375;673.151123046875
16;550.6071166992188;603.7056884765625;645.0780639648438;689.7315063476562;693.0641479492188;724.8402099609375;754.6925048828125;768.7539672851562;763.4639282226562;1099.397216796875;668.3631591796875
17;519.4473876953125;569.1634521484375;607.8125;650.51611328125;606.1776123046875;601.4031982421875;592.1720581054688;597.095947265625;592.6503295898438;1084.6995849609375;590.0304565429688
18;516.0454711914062;565.5572509765625;604.0879516601562;646.7261352539062;601.8236083984375;596.212890625;586.11474609375;590.92919921875;586.2135009765625;1080.8494873046875;585.6471557617188
19;519.4473876953125;569.1634521484375;607.8125;650.51611328125;606.1776123046875;601.4031982421875;592.1720581054688;597.095947265625;592.6503295898438;1084.6995849609375;590.0304565429688
20;516.0454711914062;565.5572509765625;604.0879516601562;646.7261352539062;601.8236083984375;596.212890625;586.11474609375;590.92919921875;586.2135009765625;1080.8494873046875;585.6471557617188
21;558.88330078125;613.0279541015625;655.0809326171875;700.32080078125;700.9465942382812;731.132568359375;759.3607788085938;773.350830078125;768.0615234375;1133.9449462890625;676.5318603515625
22;555.1983642578125;609.1241455078125;651.0509033203125;696.21826171875;696.1090087890625;725.8927001953125;753.3400268554688;767.2243041992188;761.6605834960938;1129.76904296875;671.5032348632812
23;558.88330078125;613.0279541015625;655.0809326171875;700.32080078125;700.9465942382812;731.132568359375;759.3607788085938;773.350830078125;768.0615234375;1133.9449462890625;676.5318603515625
24;555.1983642578125;609.1241455078125;651.0509033203125;696.21826171875;696.1090087890625;725.8927001953125;753.3400268554688;767.2243041992188;761.6605834960938;1129.76904296875;671.5032348632812
25;521.0201416015625;570.883544921875;609.6625366210938;652.5379028320312;607.80712890625;602.8880004882812;593.4617919921875;598.3710327148438;593.8856201171875;1087.178955078125;591.5426635742188
26;517.6324462890625;567.2925415039062;605.9532470703125;648.7631225585938;603.4694213867188;597.7120361328125;587.417724609375;592.2171630859375;587.4606323242188;1083.3458251953125;587.1766967773438
27;521.0201416015625;570.883544921875;609.6625366210938;652.5379028320312;607.80712890625;602.8880004882812;593.4617919921875;598.3710327148438;593.8856201171875;1087.178955078125;591.5426635742188
28;517.6324462890625;567.2925415039062;605.9532470703125;648.7631225585938;603.4694213867188;597.7120361328125;587.417724609375;592.2171630859375;587.4606323242188;1083.3458251953125;587.1766967773438
29;560.4631958007812;614.7559814453125;656.9392700195312;702.351318359375;702.6151733398438;732.6941528320312;760.721923828125;774.6970825195312;769.36328125;1136.43212890625;678.1856079101562
30;556.7913818359375;610.8660278320312;652.923095703125;698.262451171875;697.7886352539062;727.4592895507812;754.7000732421875;768.5689086914062;762.9588012695312;1132.2716064453125;673.1664428710938
31;560.4631958007812;614.7559814453125;656.9392700195312;702.351318359375;702.6151733398438;732.6941528320312;760.721923828125;774.6970825195312;769.36328125;1136.43212890625;678.1856079101562
32;556.7913818359375;610.8660278320312;652.923095703125;698.262451171875;697.7886352539062;727.4592895507812;754.7000732421875;768.5689086914062;762.9588012695312;1132.2716064453125;673.1664428710938
33;521.9224243164062;571.7548828125;610.482177734375;653.2881469726562;608.8148193359375;604.0536499023438;594.7832641601562;599.7050170898438;595.2151489257812;1085.5059814453125;592.4302368164062
34;518.5482177734375;568.178955078125;606.7884521484375;649.5289916992188;604.48583984375;598.8797607421875;588.734619140625;593.5462646484375;588.7837524414062;1081.6805419921875;588.0736694335938
35;521.9224243164062;571.7548828125;610.482177734375;653.2881469726562;608.8148193359375;604.0536499023438;594.7832641601562;599.7050170898438;595.2151489257812;1085.5059814453125;592.4302368164062
36;518.5482177734375;568.178955078125;606.7884521484375;649.5289916992188;604.48583984375;598.8797607421875;588.734619140625;593.5462646484375;588.7837524414062;1081.6805419921875;588.0736694335938
37;561.3657836914062;615.6285400390625;657.7610473632812;703.1028442382812;703.8106689453125;733.9638671875;762.0985107421875;776.0855712890625;770.7267456054688;1134.75830078125;679.22412109375
38;557.7072143554688;611.75341796875;653.76025390625;699.0294189453125;698.9907836914062;728.7310180664062;756.0721435546875;769.9523315429688;764.3154296875;1130.605224609375;674.2111206054688
