Scen_NR;I. Krammer-Volkerak Oost;II. Krammer-Volkerak Midden;III. Krammer-Volkerak Ingang Eendracht;IV. Krammer-Volkerak West ;V. Eendracht Noord;VI. Eendracht Zuid;VII. Zoommeer;VIII. Zoommeer Zuid;IX. Bathse Spuikanaal;X. Voorhaven Kramersluizen;Volkerak-Zoommeer
NR;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP;m NAP
1;-0.12102154568273922;-0.12102154568273854;-0.12102154568273803;-0.12102154568273893;-0.12102154568273893;-0.12102154568273893;-0.1210215456827388;-0.12102154568273872;-0.12102154568273822;-0.1;-0.1210215456827386
2;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
3;-0.12102154568273922;-0.12102154568273854;-0.12102154568273803;-0.12102154568273893;-0.12102154568273893;-0.12102154568273893;-0.1210215456827388;-0.12102154568273872;-0.12102154568273822;-0.1;-0.1210215456827386
4;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
5;-0.12102154568273922;-0.12102154568273854;-0.12102154568273803;-0.12102154568273893;-0.12102154568273893;-0.12102154568273893;-0.1210215456827388;-0.12102154568273872;-0.12102154568273822;-0.1;-0.1210215456827386
6;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
7;-0.12102154568273922;-0.12102154568273854;-0.12102154568273803;-0.12102154568273893;-0.12102154568273893;-0.12102154568273893;-0.1210215456827388;-0.12102154568273872;-0.12102154568273822;-0.1;-0.1210215456827386
8;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
9;-0.12116287862016062;-0.12116287862015981;-0.12116287862015974;-0.12116287862015941;-0.12116287862016048;-0.12116287862016048;-0.12116287862015998;-0.12116287862016037;-0.12116287862015888;-0.1;-0.12116287862015945
10;-0.1;-0.1;-0.09999999999999942;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1;-0.1
