Scen_NR;10_bathse_spuisluis;1_volkeraksluizen;2_neerslag;3_krammersluizen;4_bergsediepsluis;5_kreekraksluis;6_verdamping;7_kwel;8a_watervraag_hollandse_delta;8b_watervraag_schelde_stromen;8c_watervraag_brabantse_delta;9a_Dintel;9b_Steenbergse_Vliet;A_zeespiegelstijging;B_inlaatstop_volkeraksluizen;C1_waterstand_VZM_lowerlimit;C2_waterstand_VZM_upperlimit
1;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;1_inlaat_continue;1_continue_min10cmNAP;1_continue_plus15cmNAP
2;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;1_inlaat_continue;2_peiltrap_gemiddeld;1_continue_plus15cmNAP
3;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;2_inlaatstop_volkeraksluizen;1_continue_min10cmNAP;1_continue_plus15cmNAP
4;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;2_inlaatstop_volkeraksluizen;2_peiltrap_gemiddeld;1_continue_plus15cmNAP
5;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;2_scenario_kwel_6kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;1_inlaat_continue;1_continue_min10cmNAP;1_continue_plus15cmNAP
6;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;2_scenario_kwel_6kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;1_inlaat_continue;2_peiltrap_gemiddeld;1_continue_plus15cmNAP
7;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;2_scenario_kwel_6kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;2_inlaatstop_volkeraksluizen;1_continue_min10cmNAP;1_continue_plus15cmNAP
8;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;10_operatie_krammersluizen_met_zss_90cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;2_scenario_kwel_6kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;10_waterstand_bath_2003_plus_90_cm;2_inlaatstop_volkeraksluizen;2_peiltrap_gemiddeld;1_continue_plus15cmNAP
9;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;11_operatie_krammersluizen_met_zss_100cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;11_waterstand_bath_2003_plus_100_cm;1_inlaat_continue;1_continue_min10cmNAP;1_continue_plus15cmNAP
10;1_standaard_beheer;1_continue_15m3s;1_KNMI_neerslag_geen_scenario;11_operatie_krammersluizen_met_zss_100cm;1_standaard_operatie_bergsediepsluis;1_standaard_operatie_kreekraksluis;1_verdamping_wilhelminadorp2003;1_standaard_kwel_3kgs;1_10proc_zomer_watervraag_hollandse_delta;1_10proc_zomer_watervraag_schelde_stromen;1_10proc_zomer_watervraag_brabantse_delta;1_afvoer_2017_Dintelsas;1_afvoer_2017_Benedensas;11_waterstand_bath_2003_plus_100_cm;1_inlaat_continue;2_peiltrap_gemiddeld;1_continue_plus15cmNAP
